username,repo_name,stars,repo_url
symfony,symfony,27100,https://github.com/symfony/symfony
getgrav,grav,13400,https://github.com/getgrav/grav
symfony,console,9200,https://github.com/symfony/console
symfony,http-foundation,8200,https://github.com/symfony/http-foundation
symfony,event-dispatcher,8100,https://github.com/symfony/event-dispatcher
symfony,finder,8000,https://github.com/symfony/finder
symfony,http-kernel,7700,https://github.com/symfony/http-kernel
api-platform,api-platform,7500,https://github.com/api-platform/api-platform
symfony,polyfill-mbstring,7500,https://github.com/symfony/polyfill-mbstring
symfony,debug,7300,https://github.com/symfony/debug
symfony,routing,7200,https://github.com/symfony/routing
wallabag,wallabag,7200,https://github.com/wallabag/wallabag
symfony,css-selector,7100,https://github.com/symfony/css-selector
symfony,process,7100,https://github.com/symfony/process
symfony,var-dumper,7000,https://github.com/symfony/var-dumper
Sylius,Sylius,6900,https://github.com/Sylius/Sylius
php-pm,php-pm,6400,https://github.com/php-pm/php-pm
symfony,translation,6300,https://github.com/symfony/translation
pagekit,pagekit,5500,https://github.com/pagekit/pagekit
doctrine,DoctrineBundle,4400,https://github.com/doctrine/DoctrineBundle
symfony,filesystem,4300,https://github.com/symfony/filesystem
bolt,bolt,4100,https://github.com/bolt/bolt
doctrine,DoctrineMigrationsBundle,3900,https://github.com/doctrine/DoctrineMigrationsBundle
symfony,flex,3900,https://github.com/symfony/flex
symfony,config,3900,https://github.com/symfony/config
symfony,polyfill-ctype,3800,https://github.com/symfony/polyfill-ctype
symfony,dependency-injection,3800,https://github.com/symfony/dependency-injection
symfony,cache,3800,https://github.com/symfony/cache
silexphp,Silex,3600,https://github.com/silexphp/Silex
symfony,dom-crawler,3600,https://github.com/symfony/dom-crawler
